Unique ID,Q1-Current Job Title,Q2 - Did you switch careers into Data?,Q3 - Current Yearly Salary (in USD),Q4 - What Industry do you work in?,Q5 - Favorite Programming Language,Q6 - How happy are you with salary,Q6 - How happy are you with work/life balance,Q6 - How happy are you with coworkers,Q6 - How happy are you with management,Q6 - How happy are you with upward mobility,Q6 - How happy are you with learning new things,Q7 - How difficult was it for you to break into Data?,"Q8 - If you were to look for a new job today, what would be the most important thing to you?",Q9 - Male/Female?,Q10 - Current Age,Q11 - Which Country do you live in?,Q12 - Highest Level of Education,Q13 - Ethnicity
62a33dbdd8c00e9f5419cd65,miscellaneous,No,53000.0,technology & it,R,7.0,8.0,8.0,6.0,8.0,3.0,Very Difficult,Better Salary,Female,26,canada,,Asian/Asian American
62a33de124a26260273826b2,data-related roles,No,20000.0,transportation & logistics,Python,1.0,1.0,1.0,1.0,2.0,0.0,Very Difficult,Better Salary,Male,28,nigeria,,Black/African American
62a33dedd8c00e9f5419ce2b,data-related roles,Yes,53000.0,finance & insurance,Python,5.0,5.0,5.0,5.0,5.0,5.0,Easy,Remote Work,Male,29,kenya,,Black/African American
62a33dfbd8c00e9f5419ceda,data-related roles,Yes,115500.0,technology & it,SQL,10.0,5.0,10.0,6.0,10.0,10.0,Neither easy nor difficult,Remote Work,Female,31,united states,,White/Caucasian
62a33e38f3072dd8926221d3,data-related roles,Yes,20000.0,healthcare & medical,Python,5.0,6.0,8.0,8.0,7.0,1.0,Neither easy nor difficult,Remote Work,Male,28,azerbaijan,,White/Caucasian
62a33e54d8c00e9f5419cfe9,data-related roles,No,20000.0,finance & insurance,Python,4.0,4.0,4.0,4.0,4.0,4.0,Neither easy nor difficult,Better Salary,Male,32,argentina,,Hispanic/Latino
62a33e62575fa3a5ae88aabf,data-related roles,No,20000.0,technology & it,Python,7.0,8.0,8.0,8.0,3.0,8.0,Easy,Better Salary,Male,24,sudan,,Black/African American
62a33e63cec54911e9ca4f99,data-related roles,No,20000.0,technology & it,Python,4.0,6.0,6.0,6.0,7.0,7.0,Easy,Good Work/Life Balance,Male,31,india,,Asian/Asian American
62a33e72bae91e4b8b82ea1a,data-related roles,No,75500.0,finance & insurance,SQL,7.0,10.0,5.0,5.0,5.0,2.0,Difficult,Other (Please Specify):Responsibilities,Male,23,united states,,White/Caucasian
62a33e890f8c8599d5af13b9,data-related roles,Yes,115500.0,energy & utilities,Python,1.0,6.0,9.0,1.0,0.0,2.0,Difficult,Remote Work,Female,33,united states,,Asian/Asian American
62a33e8bf8d5efcc22f7c79a,data-related roles,No,95500.0,healthcare & medical,Other,6.0,7.0,7.0,7.0,7.0,4.0,Very Easy,Better Salary,Male,43,united states,,White/Caucasian
62a33e90cec54911e9ca5031,miscellaneous,Yes,20000.0,manufacturing & engineering,R,0.0,0.0,5.0,0.0,0.0,0.0,Very Difficult,Remote Work,Female,23,nigeria,,Black/African American
62a33e9df8f756164585277b,miscellaneous,Yes,53000.0,finance & insurance,Python,10.0,7.0,10.0,10.0,5.0,3.0,Very Difficult,Good Work/Life Balance,Male,31,united states,,Black/African American
62a33eb6bc6861bf3176c5a3,data-related roles,Yes,75500.0,finance & insurance,Python,5.0,6.0,7.0,5.0,4.0,4.0,Neither easy nor difficult,Other (Please Specify):Development,Male,31,united kingdom,,White/Caucasian
62a33ee0bae91e4b8b82eaec,data-related roles,Yes,20000.0,miscellaneous,Python,8.0,7.0,8.0,7.0,7.0,7.0,Difficult,Good Work/Life Balance,Male,25,india,,Asian/Asian American
62a33ee80f8c8599d5af14b7,data-related roles,No,137500.0,technology & it,SQL,8.0,10.0,10.0,9.0,9.0,9.0,Easy,Better Salary,Male,43,united states,,White/Caucasian
62a33efe0a77c1a77f65bf1e,data-related roles,No,53000.0,finance & insurance,Python,2.0,3.0,5.0,5.0,5.0,5.0,Difficult,Better Salary,Female,26,canada,,Asian/Asian American
62a33f0ef408bae018ed3aeb,finance & accounting,No,53000.0,manufacturing & engineering,Python,5.0,10.0,8.0,8.0,8.0,7.0,Neither easy nor difficult,Remote Work,Male,32,japan,,White/Caucasian
62a33f17f8f7561645852867,business intelligence & analytics,No,20000.0,technology & it,Python,2.0,9.0,7.0,7.0,5.0,6.0,Difficult,Better Salary,Male,31,greece,,White/Caucasian
62a33f52bc6861bf3176c72c,data-related roles,Yes,95500.0,healthcare & medical,SQL,3.0,5.0,6.0,4.0,4.0,5.0,Neither easy nor difficult,Better Salary,Male,29,united states,,White/Caucasian
62a33f56cf255543173005e9,data-related roles,Yes,20000.0,manufacturing & engineering,Python,3.0,1.0,3.0,2.0,3.0,1.0,Neither easy nor difficult,Good Culture,Male,24,peru,,Hispanic/Latino
62a33f5a5d257a28a30d7bb5,miscellaneous,Yes,53000.0,real estate & construction,Python,2.0,0.0,2.0,2.0,0.0,0.0,Very Difficult,Remote Work,Male,34,united states,,White/Caucasian
62a33fa5cec54911e9ca51f1,data-related roles,Yes,53000.0,energy & utilities,Other,5.0,6.0,6.0,5.0,4.0,6.0,Very Difficult,Better Salary,Male,42,australia,,Asian/Asian American
62a33fcb575fa3a5ae88ad59,miscellaneous,Yes,20000.0,miscellaneous,JavaScript,0.0,0.0,0.0,0.0,0.0,0.0,Difficult,Remote Work,Female,40,united states,,Asian/Asian American
62a33fcf18134ddc75ce91c3,miscellaneous,No,53000.0,technology & it,Python,3.0,1.0,3.0,4.0,0.0,3.0,Easy,Good Work/Life Balance,Male,43,spain,,White/Caucasian
62a34006d8c00e9f5419d341,miscellaneous,Yes,20000.0,real estate & construction,Python,0.0,0.0,0.0,0.0,0.0,0.0,Very Difficult,Better Salary,Male,23,kenya,,Black/African American
62a34020575fa3a5ae88ade0,miscellaneous,Yes,20000.0,education & nonprofit,Python,5.0,5.0,3.0,5.0,2.0,6.0,Difficult,Better Salary,Male,23,japan,,Asian/Asian American
62a34038b4da29969c62eafe,data-related roles,Yes,95500.0,manufacturing & engineering,Python,8.0,6.0,2.0,3.0,6.0,7.0,Neither easy nor difficult,"Other (Please Specify):Strong organizational data strategy, high-performing team",Male,28,united states,,White/Caucasian
62a3406b575fa3a5ae88ae78,data-related roles,No,75500.0,finance & insurance,SQL,5.0,7.0,1.0,1.0,0.0,8.0,Neither easy nor difficult,Better Salary,Male,32,united states,,White/Caucasian
62a340cab4da29969c62ec01,data-related roles,Yes,75500.0,manufacturing & engineering,R,7.0,8.0,10.0,8.0,9.0,9.0,Difficult,Remote Work,Female,41,united states,,White/Caucasian
62a340d62e54c9003e5324b4,data-related roles,Yes,53000.0,finance & insurance,Python,5.0,6.0,6.0,6.0,6.0,6.0,Neither easy nor difficult,Remote Work,Male,33,united kingdom,High School,White/Caucasian
62a340e10a77c1a77f65c2e7,management & leadership,Yes,187500.0,technology & it,Python,10.0,8.0,9.0,8.0,8.0,10.0,Easy,Good Work/Life Balance,Male,38,united states,,Hispanic/Latino
62a340f5bc6861bf3176caa4,data-related roles,No,20000.0,technology & it,SQL,8.0,8.0,8.0,8.0,5.0,10.0,Easy,Better Salary,Female,22,india,,Asian/Asian American
62a34117cec54911e9ca54e7,miscellaneous,Yes,20000.0,energy & utilities,R,1.0,3.0,6.0,6.0,6.0,9.0,Difficult,Remote Work,Male,36,barbados,Bachelors,Black/African American
62a3413a5d257a28a30d8074,data-related roles,No,75500.0,finance & insurance,Python,2.0,1.0,1.0,1.0,3.0,7.0,Easy,Remote Work,Female,28,united states,Masters,Asian/Asian American
62a341a1f3072dd8926229a5,miscellaneous,Yes,20000.0,education & nonprofit,Python,,,,,,7.0,Very Easy,Other (Please Specify):I would say a combination of good work/life balance with a better pay and the exposure to a workplace that supposed growth,Male,30,south africa,,Black/African American
62a341b0f8f7561645852d1d,data-related roles,Yes,75500.0,technology & it,Python,6.0,6.0,6.0,6.0,5.0,6.0,Difficult,Other (Please Specify):Currently very happy with where I am.,Female,24,united states,Bachelors,Hispanic/Latino
62a341e8f8d5efcc22f7d002,business intelligence & analytics,No,53000.0,transportation & logistics,C/C++,3.0,6.0,7.0,7.0,0.0,3.0,Very Difficult,Better Salary,Male,29,united states,Bachelors,White/Caucasian
62a34210cf25554317300c02,data-related roles,No,20000.0,technology & it,Python,4.0,9.0,10.0,9.0,9.0,10.0,Easy,Better Salary,Male,29,colombia,Associates,Hispanic/Latino
62a3424eb4da29969c62eedd,business intelligence & analytics,Yes,53000.0,manufacturing & engineering,Python,6.0,8.0,8.0,7.0,9.0,7.0,Neither easy nor difficult,Good Work/Life Balance,Male,38,germany,Masters,White/Caucasian
62a34256bae91e4b8b82f16d,data-related roles,Yes,20000.0,finance & insurance,Other,3.0,5.0,4.0,3.0,3.0,3.0,Difficult,Good Work/Life Balance,Male,31,bulgaria,Masters,White/Caucasian
62a3426cf408bae018ed409b,miscellaneous,No,20000.0,technology & it,Python,1.0,4.0,5.0,5.0,1.0,1.0,Difficult,Better Salary,Male,25,united states,Masters,White/Caucasian
62a34272f8d5efcc22f7d15f,data-related roles,No,75500.0,technology & it,Python,4.0,6.0,4.0,5.0,4.0,4.0,Neither easy nor difficult,Better Salary,Male,24,united states,Masters,White/Caucasian
62a34340bc6861bf3176d05b,business intelligence & analytics,Yes,53000.0,technology & it,Python,6.0,7.0,4.0,3.0,9.0,8.0,Difficult,Better Salary,Male,28,turkey,Bachelors,White/Caucasian
62a34383b4da29969c62f1be,miscellaneous,No,20000.0,technology & it,Python,7.0,5.0,8.0,0.0,0.0,0.0,Neither easy nor difficult,Good Culture,Female,23,india,Bachelors,Asian/Asian American
62a34389cec54911e9ca5a22,data-related roles,No,20000.0,technology & it,R,2.0,3.0,2.0,5.0,5.0,7.0,Neither easy nor difficult,Remote Work,Male,21,spain,Masters,Hispanic/Latino
62a343a22e54c9003e532a2a,data-related roles,No,20000.0,energy & utilities,Python,4.0,4.0,4.0,4.0,5.0,6.0,Neither easy nor difficult,Remote Work,Male,29,france,Bachelors,Other
62a343d9f3072dd892622fe4,data-related roles,Yes,53000.0,technology & it,Python,5.0,6.0,7.0,7.0,7.0,6.0,Difficult,Better Salary,Male,25,united states,Bachelors,Asian/Asian American
62a34400d8c00e9f5419dc2b,data-related roles,No,53000.0,technology & it,Python,6.0,6.0,6.0,6.0,3.0,5.0,Difficult,Good Culture,Male,27,germany,Masters,Black/African American
62a34425f8d5efcc22f7d525,data-related roles,Yes,53000.0,technology & it,Python,3.0,9.0,10.0,8.0,9.0,9.0,Easy,Better Salary,Male,23,india,Bachelors,Asian/Asian American
62a34449575fa3a5ae88b637,sr. supply chain analyst,No,95500.0,food & beverage,R,4.0,3.0,3.0,5.0,5.0,5.0,Difficult,Better Salary,Male,32,united states,Masters,Asian/Asian American
62a3445dcf255543173011e1,miscellaneous,Yes,115500.0,healthcare & medical,Python,5.0,5.0,7.0,5.0,7.0,7.0,Neither easy nor difficult,Remote Work,Male,22,india,Bachelors,Asian/Asian American
62a3447a575fa3a5ae88b6c0,data-related roles,No,20000.0,technology & it,Python,2.0,9.0,9.0,8.0,6.0,2.0,Easy,Better Salary,Male,25,thailand,Bachelors,Asian/Asian American
62a3449f7dc029e2d66bf5d1,data-related roles,Yes,20000.0,technology & it,Python,2.0,8.0,6.0,6.0,5.0,5.0,Neither easy nor difficult,Remote Work,Female,36,germany,Masters,White/Caucasian
62a344c5f408bae018ed4806,data-related roles,Yes,115500.0,technology & it,SQL,10.0,6.0,9.0,5.0,8.0,7.0,Easy,Good Work/Life Balance,Female,27,united states,Bachelors,White/Caucasian
62a344c6f8d5efcc22f7d6e1,business intelligence & analytics,Yes,20000.0,technology & it,Python,5.0,5.0,5.0,5.0,5.0,1.0,Neither easy nor difficult,Other (Please Specify):My passion is to become a Data analyst ,Male,23,india,Bachelors,Asian/Asian American
62a344e1f3072dd892623328,miscellaneous,Yes,20000.0,technology & it,SQL,2.0,3.0,3.0,3.0,3.0,6.0,Very Difficult,Better Salary,Male,26,netherlands,Bachelors,Black/African American
62a3450424a262602738357f,management & leadership,No,95500.0,healthcare & medical,Python,9.0,10.0,10.0,10.0,10.0,10.0,Very Easy,Good Work/Life Balance,Female,33,united states,PhD,Hispanic/Latino
62a3452818134ddc75ce9e1b,data-related roles,Yes,115500.0,manufacturing & engineering,Python,3.0,5.0,3.0,3.0,5.0,5.0,Easy,Better Salary,Male,27,turkey,Masters,White/Caucasian
62a345490a77c1a77f65cc5b,data-related roles,Yes,53000.0,education & nonprofit,R,3.0,6.0,5.0,4.0,3.0,4.0,Neither easy nor difficult,Better Salary,Male,42,united states,Associates,White/Caucasian
62a3455bbc6861bf3176d57a,data-related roles,Yes,20000.0,technology & it,Python,6.0,7.0,8.0,7.0,7.0,8.0,Easy,Good Work/Life Balance,Male,29,spain,Masters,White/Caucasian
62a3457bf8d5efcc22f7da17,data-related roles,No,137500.0,technology & it,Python,4.0,7.0,6.0,4.0,2.0,4.0,Easy,Better Salary,Female,27,united states,Masters,Asian/Asian American
62a345b2bae91e4b8b82fad6,miscellaneous,No,53000.0,healthcare & medical,Python,0.0,10.0,10.0,10.0,4.0,2.0,Neither easy nor difficult,Remote Work,Female,39,united states,Bachelors,Hispanic/Latino
62a345c47dc029e2d66bf80a,data-related roles,Yes,53000.0,technology & it,Python,6.0,6.0,7.0,5.0,6.0,7.0,Difficult,Good Culture,Male,31,denmark,Masters,White/Caucasian
62a345e25d257a28a30d8b43,data-related roles,Yes,75500.0,entertainment & media,Python,7.0,7.0,5.0,9.0,7.0,8.0,Easy,Good Work/Life Balance,Male,29,brazil,Bachelors,Hispanic/Latino
62a34646f8d5efcc22f7dc5c,data-related roles,Yes,75500.0,education & nonprofit,R,7.0,7.0,7.0,7.0,4.0,7.0,Easy,Remote Work,Male,31,united states,Masters,White/Caucasian
62a34687f408bae018ed4c52,data-related roles,Yes,20000.0,finance & insurance,Python,10.0,9.0,9.0,10.0,9.0,10.0,Neither easy nor difficult,Good Culture,Male,30,mexico,Masters,Hispanic/Latino
62a346a37dc029e2d66bfa6d,data-related roles,Yes,20000.0,technology & it,Python,7.0,8.0,6.0,5.0,5.0,9.0,Difficult,Better Salary,Male,33,mexico,Masters,Hispanic/Latino
62a346a95d257a28a30d8cb9,data-related roles,No,75500.0,retail & consumer goods,Python,7.0,8.0,9.0,7.0,7.0,7.0,Neither easy nor difficult,Better Salary,Male,25,united states,Bachelors,White/Caucasian
62a346b4bc6861bf3176d7ce,miscellaneous,No,20000.0,technology & it,R,0.0,0.0,0.0,0.0,0.0,0.0,Neither easy nor difficult,Good Work/Life Balance,Male,23,india,Bachelors,Asian/Asian American
62a346cef8f756164585385b,data-related roles,Yes,53000.0,entertainment & media,Other,4.0,4.0,3.0,3.0,5.0,6.0,Very Difficult,Better Salary,Male,33,united states,Bachelors,Asian/Asian American
62a346d724a2626027383abd,business intelligence & analytics,Yes,75500.0,transportation & logistics,Python,7.0,9.0,9.0,8.0,8.0,9.0,Neither easy nor difficult,Good Work/Life Balance,Male,35,chile,Bachelors,Hispanic/Latino
62a346d90a77c1a77f65d08d,data-related roles,No,53000.0,consulting & professional services,Python,6.0,8.0,5.0,,6.0,9.0,Neither easy nor difficult,Remote Work,Female,42,greece,Masters,White/Caucasian
62a34726f8d5efcc22f7dec7,data-related roles,No,75500.0,technology & it,Python,3.0,4.0,2.0,1.0,0.0,4.0,Neither easy nor difficult,Better Salary,Male,25,united states,Bachelors,White/Caucasian
62a3476c5d257a28a30d8e6d,data-related roles,No,95500.0,manufacturing & engineering,Python,5.0,4.0,5.0,4.0,3.0,6.0,Neither easy nor difficult,"Other (Please Specify):Different job title, either product owner or consulting",Male,23,united states,Bachelors,White/Caucasian
62a347b4f8f7561645853a98,education & research,No,53000.0,healthcare & medical,JavaScript,2.0,4.0,6.0,5.0,3.0,4.0,Easy,Better Salary,Female,51,united states,Bachelors,Black/African American
62a347f6b4da29969c62fb79,data-related roles,No,20000.0,technology & it,Other,1.0,4.0,4.0,3.0,2.0,6.0,Very Difficult,Better Salary,Male,30,united kingdom,Bachelors,Black/African American
62a3483018134ddc75cea4e6,data-related roles,Yes,53000.0,finance & insurance,Python,8.0,9.0,9.0,9.0,9.0,8.0,Very Difficult,Better Salary,Male,23,india,Bachelors,Asian/Asian American
62a348650f8c8599d5af2b77,education & research,Yes,53000.0,entertainment & media,R,3.0,5.0,5.0,6.0,3.0,4.0,Neither easy nor difficult,Better Salary,Male,24,canada,Bachelors,Asian/Asian American
62a3489318134ddc75cea659,miscellaneous,Yes,53000.0,technology & it,Python,6.0,6.0,6.0,6.0,6.0,6.0,Easy,Good Culture,Male,25,australia,Masters,Asian/Asian American
62a348bf2e54c9003e533634,data-related roles,Yes,53000.0,finance & insurance,Python,4.0,4.0,6.0,4.0,5.0,6.0,Difficult,Better Salary,Female,55,united states,Masters,Other
62a348c2f3072dd892623c10,data-related roles,No,95500.0,healthcare & medical,R,8.0,10.0,8.0,7.0,8.0,10.0,Very Easy,Remote Work,Female,30,united states,Masters,White/Caucasian
62a348f2f8d5efcc22f7e2ba,data-related roles,Yes,53000.0,consulting & professional services,Python,9.0,9.0,9.0,9.0,7.0,4.0,Difficult,Better Salary,Male,25,canada,Bachelors,Asian/Asian American
62a349160a77c1a77f65d4db,data-related roles,Yes,75500.0,retail & consumer goods,Python,6.0,9.0,7.0,6.0,7.0,7.0,Neither easy nor difficult,Better Salary,Male,28,united states,Masters,White/Caucasian
62a3493fb4da29969c62fe63,business intelligence & analytics,Yes,53000.0,consulting & professional services,Python,8.0,8.0,9.0,9.0,10.0,10.0,Very Easy,Better Salary,Male,34,united kingdom,Bachelors,White/Caucasian
62a3496e575fa3a5ae88c4e6,data-related roles,Yes,20000.0,technology & it,Python,8.0,10.0,9.0,9.0,10.0,8.0,Neither easy nor difficult,Better Salary,Female,28,costa rica,Bachelors,Hispanic/Latino
62a3498e575fa3a5ae88c554,miscellaneous,No,20000.0,manufacturing & engineering,Other,7.0,9.0,7.0,8.0,8.0,10.0,Neither easy nor difficult,Better Salary,Male,24,vietnam,Bachelors,Asian/Asian American
62a34991b4da29969c62ff4b,miscellaneous,Yes,20000.0,healthcare & medical,Python,3.0,7.0,7.0,7.0,1.0,2.0,Difficult,Better Salary,Male,31,united states,Masters,Black/African American
62a349bbf8f756164585400d,data-related roles,Yes,53000.0,transportation & logistics,SQL,3.0,6.0,6.0,6.0,4.0,4.0,Easy,Better Salary,Male,25,canada,Bachelors,Asian/Asian American
62a349c7cec54911e9ca67c7,data-related roles,Yes,115500.0,finance & insurance,Python,5.0,1.0,4.0,3.0,3.0,4.0,Easy,Better Salary,Female,38,united states,Bachelors,White/Caucasian
62a349d5d8c00e9f5419ead2,data-related roles,No,53000.0,finance & insurance,Python,5.0,5.0,5.0,5.0,4.0,5.0,Neither easy nor difficult,Good Culture,Male,30,netherlands,Bachelors,Hispanic/Latino
62a349e6b4da29969c63000c,data-related roles,Yes,20000.0,technology & it,C/C++,0.0,0.0,0.0,2.0,2.0,5.0,Neither easy nor difficult,Good Work/Life Balance,Male,25,india,Bachelors,Asian/Asian American
62a34a03cec54911e9ca6869,data-related roles,Yes,20000.0,technology & it,Python,1.0,2.0,1.0,5.0,6.0,6.0,Neither easy nor difficult,Better Salary,Female,29,nigeria,Bachelors,Black/African American
62a34ab15d257a28a30d9589,data-related roles,Yes,187500.0,finance & insurance,Python,7.0,5.0,3.0,6.0,4.0,4.0,Difficult,Good Work/Life Balance,Male,21,portugal,Masters,White/Caucasian
62a34abc0f8c8599d5af31c5,data-related roles,Yes,75500.0,transportation & logistics,SQL,5.0,8.0,8.0,7.0,6.0,7.0,Very Easy,Remote Work,Female,39,united states,Bachelors,Asian/Asian American
62a34b07cec54911e9ca6b6e,miscellaneous,No,20000.0,miscellaneous,Python,0.0,0.0,0.0,0.0,0.0,5.0,Neither easy nor difficult,Better Salary,Male,25,turkey,Bachelors,White/Caucasian
62a34b0eb4da29969c6302ce,business intelligence & analytics,Yes,95500.0,finance & insurance,None,7.0,9.0,10.0,6.0,4.0,4.0,Neither easy nor difficult,Other (Please Specify):Opportunity for advancement ,Female,42,united states,Masters,Hispanic/Latino
62a34b1b0f8c8599d5af328b,data-related roles,No,53000.0,technology & it,R,10.0,8.0,9.0,10.0,10.0,10.0,Easy,Better Salary,Male,25,united states,Bachelors,White/Caucasian
62a34b5b5d257a28a30d96a6,data-related roles,No,95500.0,finance & insurance,Python,8.0,7.0,6.0,6.0,5.0,9.0,Neither easy nor difficult,Better Salary,Male,22,united states,Bachelors,White/Caucasian
62a34b7ebae91e4b8b83076c,data-related roles,No,20000.0,consulting & professional services,Python,1.0,4.0,4.0,3.0,,5.0,Easy,Better Salary,Male,23,colombia,High School,Hispanic/Latino
62a34b99cec54911e9ca6e14,data-related roles,Yes,53000.0,technology & it,JavaScript,6.0,6.0,6.0,6.0,6.0,6.0,Difficult,Good Culture,Male,25,egypt,High School,Middle Eastern/North African
62a34bb0f3072dd892624210,data-related roles,Yes,75500.0,consulting & professional services,Python,5.0,7.0,7.0,6.0,6.0,7.0,Neither easy nor difficult,Better Salary,Male,45,canada,Masters,White/Caucasian
62a34bd0cf2555431730208b,data-related roles,Yes,75500.0,healthcare & medical,SQL,7.0,3.0,8.0,6.0,8.0,8.0,Easy,Good Work/Life Balance,Male,24,united states,Bachelors,White/Caucasian
62a34bd4f408bae018ed57bd,miscellaneous,No,20000.0,government & public sector,R,1.0,9.0,6.0,0.0,0.0,0.0,Difficult,Better Salary,Male,25,united states,,Black/African American
62a34c66b4da29969c6305af,data-related roles,Yes,75500.0,entertainment & media,Python,9.0,8.0,9.0,9.0,8.0,8.0,Difficult,Good Work/Life Balance,Male,26,united states,Bachelors,White/Caucasian
62a34d1ff8f756164585465c,data-related roles,No,53000.0,technology & it,R,4.0,7.0,8.0,8.0,5.0,7.0,Easy,Better Salary,Male,23,canada,Bachelors,Asian/Asian American
62a34d4118134ddc75ceb0ed,miscellaneous,Yes,20000.0,entertainment & media,Python,1.0,1.0,1.0,0.0,0.0,3.0,Difficult,Remote Work,Female,42,united kingdom,Masters,White/Caucasian
62a34da0f408bae018ed5abd,education & research,Yes,53000.0,education & nonprofit,None,0.0,0.0,2.0,0.0,0.0,0.0,Very Difficult,Good Work/Life Balance,Female,42,united states,Bachelors,Black/African American
62a34dbb5d257a28a30d9a61,business intelligence & analytics,No,20000.0,technology & it,Python,0.0,6.0,5.0,5.0,3.0,1.0,Neither easy nor difficult,Better Salary,Male,25,india,Masters,Asian/Asian American
62a34e00f8f7561645854954,data-related roles,Yes,95500.0,technology & it,R,8.0,10.0,10.0,10.0,2.0,7.0,Easy,Remote Work,Male,38,united states,Masters,White/Caucasian
62a34e082e54c9003e534118,business intelligence & analytics,No,20000.0,technology & it,Python,5.0,6.0,6.0,6.0,6.0,4.0,Easy,Better Salary,Male,24,costa rica,Bachelors,Hispanic/Latino
62a34eb7bc6861bf3176e6d8,data-related roles,Yes,75500.0,education & nonprofit,R,7.0,10.0,10.0,10.0,8.0,10.0,Neither easy nor difficult,Good Work/Life Balance,Male,28,united states,Bachelors,White/Caucasian
62a34f2af8f7561645854c1c,data-related roles,No,53000.0,healthcare & medical,Python,1.0,2.0,8.0,7.0,0.0,0.0,Difficult,Better Salary,Male,21,united states,Bachelors,Asian/Asian American
62a34f3bf408bae018ed5e42,data-related roles,Yes,115500.0,healthcare & medical,R,10.0,10.0,10.0,10.0,10.0,10.0,Very Easy,Good Culture,Male,39,united states,Masters,White/Caucasian
62a34fa418134ddc75ceb509,data-related roles,Yes,20000.0,technology & it,Python,4.0,5.0,5.0,5.0,6.0,8.0,Difficult,Good Work/Life Balance,Male,23,pakistan,Bachelors,Asian/Asian American
